;0;1;2;3;4;5;6;7;8;9;10;11;12
0;7;91;34;77;33;47;43;51;81;28;88;74;81
1;73;82;76;51;80;42;83;19;37;37;85;18;67
2;85;57;67;14;1;92;41;32;16;83;65;39;18
3;42;87;23;56;15;99;60;85;90;68;9;63;88
4;23;93;36;65;96;31;8;54;27;74;59;70;36
5;2;71;34;38;62;45;86;95;93;12;83;59;17
6;31;41;54;1;97;73;5;73;44;93;94;2;56
7;61;44;86;1;69;65;32;95;61;39;7;61;31
8;59;49;1;70;86;26;62;40;96;82;3;20;83
9;10;38;37;77;16;94;34;67;96;64;32;30;63
10;56;35;21;89;28;60;90;21;65;25;68;73;43
11;35;91;9;32;25;86;41;41;52;4;28;65;24
12;13;10;17;42;61;37;52;66;10;13;15;72;83
