Verkaufspreis,Verkaufsmonat,Wohnraum_qm,Keller_qm,Grundstueck_qm,Qualität_Baustoffe,Zustand_Immobilie,Baujahr,Heizungsart,Zentrale_Klimaanlage,Kamine
208500,2,521.3414634146342,260.9756097560976,2576.219512195122,7,5,2003,GasA,Y,0
181500,5,384.75609756097566,384.75609756097566,2926.829268292683,6,8,1976,GasA,Y,1
223500,9,544.5121951219512,280.4878048780488,3429.878048780488,7,5,2001,GasA,Y,1
140000,2,523.4756097560976,230.4878048780488,2911.585365853659,7,5,1915,GasA,Y,1
250000,12,670.1219512195122,349.0853658536586,4347.5609756097565,8,5,2000,GasA,Y,1
143000,10,415.2439024390244,242.6829268292683,4303.3536585365855,5,5,1993,GasA,Y,0
307000,8,516.4634146341464,514.0243902439024,3074.390243902439,8,5,2004,GasA,Y,1
200000,11,637.1951219512196,337.5,3165.2439024390246,7,6,1973,GasA,Y,2
129900,4,540.8536585365854,290.2439024390244,1865.8536585365853,7,5,1931,GasA,Y,2
118000,1,328.3536585365854,302.1341463414634,2262.19512195122,5,6,1939,GasA,Y,2
129500,2,317.07317073170736,317.07317073170736,3414.634146341464,5,5,1965,GasA,Y,0
345000,7,708.5365853658537,358.2317073170732,3635.3658536585367,9,5,2005,GasA,Y,2
144000,9,278.0487804878049,278.0487804878049,3953.658536585366,5,6,1962,GasA,Y,0
279500,8,455.4878048780488,455.4878048780488,3247.5609756097565,7,5,2006,GasA,Y,1
157000,5,382.01219512195127,382.01219512195127,3329.268292682927,6,5,1960,GasA,Y,1
132000,7,260.3658536585366,253.65853658536588,1865.8536585365853,7,8,1929,GasA,Y,0
149000,3,306.0975609756098,306.0975609756098,3427.134146341464,6,7,1970,GasA,Y,1
90000,10,395.1219512195122,0.0,3289.939024390244,4,5,1967,GasA,Y,0
159000,6,339.63414634146346,339.63414634146346,4175.304878048781,5,5,2004,GasA,Y,0
139000,5,408.2317073170732,313.719512195122,2304.878048780488,5,6,1958,GasA,Y,0
325300,11,724.3902439024391,353.0487804878049,4333.841463414635,8,5,2005,GasA,Y,1
139400,6,337.8048780487805,194.2073170731708,2271.0365853658536,7,7,1930,GasA,Y,1
230000,9,547.2560975609756,541.7682926829268,2970.1219512195125,8,5,2002,GasA,Y,1
129900,6,323.1707317073171,317.07317073170736,1287.804878048781,5,7,1976,GasA,Y,1
154000,5,323.1707317073171,323.1707317073171,2514.0243902439024,5,8,1968,GasA,Y,1
256300,7,487.8048780487805,477.439024390244,4338.414634146342,8,5,2007,GasA,Y,1
134800,5,274.39024390243907,274.39024390243907,2195.1219512195125,5,7,1951,GasA,Y,0
306000,5,519.5121951219512,519.5121951219512,3499.390243902439,8,5,2007,GasA,Y,1
207500,12,487.8048780487805,452.4390243902439,4975.914634146342,5,6,1957,GasA,Y,2
68500,5,158.53658536585368,158.53658536585368,1928.048780487805,4,6,1927,GasA,N,0
40000,7,401.5243902439025,197.8658536585366,2591.4634146341464,4,4,1920,GasA,N,0
149350,6,374.3902439024391,374.3902439024391,2604.878048780488,5,6,1966,GasA,Y,0
179900,1,376.219512195122,376.219512195122,3368.59756097561,8,5,2007,GasA,Y,0
165500,4,518.2926829268293,426.219512195122,3217.073170731708,5,5,1959,GasA,Y,1
277500,8,475.9146341463415,475.9146341463415,2229.573170731708,9,5,2005,GasA,Y,1
309000,9,747.5609756097562,340.5487804878049,4090.8536585365855,8,5,2004,GasA,Y,1
145000,6,334.4512195121952,334.4512195121952,3310.6707317073174,5,5,1994,GasA,Y,0
153000,10,395.4268292682927,395.4268292682927,2601.219512195122,5,6,1954,GasA,Y,1
109000,1,322.2560975609756,322.2560975609756,2415.2439024390246,5,7,1953,GasA,Y,0
82000,6,351.219512195122,0.0,1841.4634146341464,4,5,1955,GasA,N,0
160000,12,403.6585365853659,331.7073170731708,2639.634146341464,6,5,1965,GasA,Y,1
170000,7,404.8780487804878,411.5853658536586,5153.963414634147,5,6,1959,GasA,Y,2
144000,12,269.5121951219512,256.0975609756098,2798.7804878048782,5,7,1983,GasA,Y,0
130250,7,285.9756097560976,285.9756097560976,2804.878048780488,5,6,1975,GasA,Y,0
141000,5,350.609756097561,350.609756097561,2422.256097560976,5,6,1959,GasA,Y,0
319900,2,534.1463414634146,534.1463414634146,2334.756097560976,9,5,2005,GasA,Y,1
239686,8,655.1829268292684,437.1951219512196,3909.146341463415,7,5,2003,GasA,Y,1
249700,7,504.8780487804879,504.8780487804879,3382.9268292682927,8,5,2006,GasA,Y,0
